24  13 02 20.638 +27 06 09.20                                                               21.3  7.7  2.7 25.4 24.4 26.1 16.0 21.27 0.01 1.73 0.02 0.71 0.01 0.47 0.00  14.2   0.4 24.8 21.29 0.01 1.76 0.02 0.66 0.01 0.47 0.00  14.5  0.4 25.75 0.07 2
25  13 02 20.022 +27 12 33.47                                                               21.3  6.4  2.4 25.3 24.2 26.0 13.1 21.29 0.01 1.33 0.01 0.66 0.01 0.69 0.00  67.8   0.8 24.7 21.19 0.01 1.39 0.01 0.70 0.01 0.70 0.00  69.2  1.0 26.81 0.20 2
26  13 02 24.267 +26 49 58.11                                                               21.1 17.9  1.6 24.1 22.7 24.8                                                                                                                               0
27  13 02 24.978 +26 52 46.06                                                               21.0 20.8  3.6 25.7 24.6 26.4                                                                                                                               0
28  13 00 20.212 +27 17 15.24                                                               20.4 10.7  3.6 25.3 24.3 26.0 22.0 20.32 0.00 2.08 0.01 0.57 0.01 0.77 0.00  62.8   0.8 24.8 20.27 0.00 2.23 0.01 0.62 0.01 0.78 0.00  66.9  0.7 26.01 0.06 2
29  13 00 24.343 +27 36 01.03                                                               23.2  6.3  1.9 26.8 25.7 27.5 13.1 23.28 0.02 1.04 0.03 0.62 0.04 0.72 0.01  10.7   3.0 26.2 23.28 0.02 1.15 0.03 0.80 0.04 0.69 0.01   6.5  2.6 27.86 0.21 1
30  13 00 24.109 +27 43 26.56 21.84  1.01 APS YKK1-20473                                    21.7  7.2  2.7 26.0 23.4 26.7 14.7 21.38 0.01 1.76 0.03 0.87 0.02 0.87 0.01  40.2   3.4 25.3 21.38 0.01 1.77 0.02 0.74 0.01 0.85 0.01  35.1  2.0 26.46 0.07 2
31  13 00 26.266 +27 26 17.26                                                               22.1  4.7  2.4 26.1 21.2 26.8  9.9 21.82 0.04 1.60 0.08 1.63 0.07 0.96 0.02 -48.4  15.6 25.0 22.23 0.01 1.20 0.02 0.68 0.02 0.95 0.01  -0.5  9.6 25.83 0.04 2
32  13 00 29.688 +27 26 27.93                                                               22.4  4.9  1.6 25.6 23.5 26.3 10.3 21.31 0.02 1.62 0.04 1.07 0.02 0.67 0.01  89.5   1.1 24.6 21.28 0.02 1.74 0.04 1.14 0.03 0.67 0.01  86.1  1.1 25.71 0.04 2
33  13 00 27.568 +27 34 27.39                                                               19.8 10.6  3.5 24.6 23.6 25.3 21.6 19.86 0.00 1.70 0.01 0.69 0.00 0.92 0.00  45.8   1.6 24.0 19.88 0.00 1.71 0.01 0.66 0.00 0.93 0.00  40.3  1.6 24.50 0.02 2
34  13 00 29.312 +27 34 19.98                                                               21.4  6.2  2.6 25.4 24.3 26.1 12.7 21.22 0.01 1.95 0.03 1.16 0.02 0.49 0.00 -89.2   0.4 24.5 21.24 0.01 2.01 0.03 1.11 0.02 0.51 0.00 -88.3  0.4 26.70 0.11 2
35  13 00 32.532 +27 21 09.41                                                               20.8  5.0  2.5 25.0 24.0 25.7 10.3 20.87 0.01 1.18 0.02 0.72 0.01 0.92 0.01  27.6   4.8 24.2                                                                1
36  13 00 34.754 +27 40 06.86             APS                                               20.8  4.7  2.1 24.4 23.4 25.1  9.9 20.79 0.01 1.09 0.01 0.69 0.01 0.74 0.00 -26.1   1.0 23.8 20.88 0.01 1.07 0.01 0.86 0.01 0.83 0.00 -40.8  1.3 26.82 0.16 2
37  13 00 35.630 +27 29 51.31             DF35                                              20.8 11.1  4.0 26.0 25.0 26.8 22.8 20.63 0.01 2.55 0.02 0.70 0.01 0.74 0.00 -37.3   0.8 25.3 20.63 0.01 2.55 0.02 0.69 0.01 0.74 0.00 -37.4  0.8 27.87 0.33 1
38  13 00 40.860 +27 37 56.07             APS                                               21.6  7.4  3.1 26.2 25.0 26.9 15.2 21.50 0.01 2.04 0.04 1.12 0.02 0.69 0.01 -85.1   1.0 25.2                                                                1
39  13 00 40.636 +27 28 55.25                                                               20.6  5.5  2.9 24.9 23.8 25.6 11.5 20.57 0.01 1.65 0.02 0.84 0.01 0.69 0.00 -40.4   0.6 24.2 20.58 0.01 1.64 0.01 0.80 0.01 0.69 0.00 -40.4  0.6 26.99 0.25 1
40  13 00 46.392 +27 28 50.87                                                               22.6  4.4  1.8 26.0 24.9 26.7  9.1 22.70 0.01 0.86 0.01 0.59 0.02 0.86 0.01 -85.1   3.2 25.4 22.70 0.01 0.86 0.01 0.58 0.02 0.86 0.01 -85.3  3.2 28.73 0.69 1
41  13 00 48.418 +27 32 44.47                                                               22.5  6.0  1.9 26.0 25.0 26.7 12.3 22.57 0.01 1.03 0.02 0.61 0.03 0.72 0.01  11.3   2.2 25.5 22.60 0.01 1.07 0.02 0.64 0.03 0.67 0.01  12.4  1.9 26.64 0.10 2
42  13 00 53.395 +27 43 34.63 22.44  0.90 APS YKK1-22020                                    22.5  5.5  1.8 25.8 24.8 26.5 11.5 22.56 0.01 0.91 0.02 0.67 0.03 0.75 0.01 -62.5   2.5 25.2 22.57 0.01 0.93 0.02 0.60 0.03 0.74 0.01 -63.8  2.3 27.37 0.29 1
43  13 00 54.763 +27 27 49.47                                                               22.5  6.3  2.2 26.5 25.3 27.3 13.1 21.90 0.02 2.33 0.06 0.65 0.02 0.42 0.01  16.3   0.8 25.9 21.80 0.03 2.77 0.11 0.68 0.02 0.37 0.01  16.5  0.7 25.82 0.04 2
44  13 00 57.459 +27 25 36.91                                                               22.1  5.9  2.2 25.9 24.9 26.6 12.3 22.19 0.01 1.15 0.01 0.51 0.01 0.73 0.01 -63.6   1.4 25.4 22.21 0.01 1.16 0.01 0.45 0.01 0.73 0.01 -63.9  1.3 26.87 0.12 2
45  13 00 57.068 +27 39 56.66             APS                                               19.7  5.8  3.8 24.6 23.4 25.3 11.9 19.64 0.01 2.15 0.02 1.13 0.01 0.81 0.00 -15.4   0.7 23.6 19.64 0.01 2.18 0.02 1.14 0.01 0.80 0.00 -15.9  0.7 26.62 0.13 2
46  13 01 00.169 +27 37 59.79             APS ASU                                           21.4  5.3  2.3 25.4 24.4 26.1 11.1 21.51 0.01 1.16 0.01 0.65 0.01 0.81 0.00  21.1   1.1 24.8 21.51 0.01 1.17 0.01 0.64 0.01 0.81 0.00  20.6  1.2 27.34 0.17 2
47  13 01 04.423 +27 20 50.74                                                               21.2  4.3  1.9 24.8 23.7 25.5  9.1 21.14 0.01 1.04 0.01 0.61 0.01 0.83 0.00 -74.7   1.5 24.2 21.14 0.01 1.04 0.01 0.60 0.01 0.83 0.00 -75.6  1.5 26.90 0.21 2
48  13 01 04.620 +27 44 39.71             APS                                               20.1  9.2  4.0 25.2 24.1 25.9 18.8 20.15 0.00 2.05 0.01 0.69 0.01 0.80 0.00 -24.9   0.7 24.5                                                                1
49  13 01 08.404 +27 45 01.26             IBG-130108+274502 APS                             20.0  4.1  2.5 23.9 22.6 24.7  8.7 20.09 0.01 1.49 0.01 1.16 0.01 0.51 0.00 -77.6   0.2 22.9 20.08 0.01 1.52 0.01 1.18 0.01 0.51 0.00 -77.6  0.2 26.59 0.16 2
50  13 01 11.104 +27 31 51.36                                                               21.4  4.9  2.4 25.4 24.4 26.1 10.3 21.48 0.00 1.14 0.01 0.62 0.01 0.91 0.00 -57.0   2.3 24.8 21.48 0.00 1.14 0.01 0.60 0.01 0.91 0.00 -57.5  2.2 27.67 0.22 2
51  13 01 12.846 +27 17 17.37                                                               20.8  4.9  1.9 23.9 23.0 24.7 10.3 20.76 0.01 1.34 0.02 0.94 0.01 0.34 0.00   0.0   0.2 23.3 20.78 0.01 1.39 0.02 0.89 0.01 0.32 0.00  -0.6  0.2 25.00 0.04 2
52  13 01 13.804 +27 45 22.04             APS                                               23.1  4.6  1.5 26.0 24.9 26.7  9.5 23.30 0.02 0.69 0.02 0.61 0.04 0.74 0.02  30.1   3.3 25.5 23.34 0.02 0.72 0.02 0.50 0.04 0.74 0.02  29.7  3.3 26.99 0.19 1
53  13 01 12.419 +27 45 25.31             APS                                               19.7 13.2  4.6 25.0 23.9 25.7 26.9 19.70 0.00 2.75 0.01 0.73 0.01 0.59 0.00   9.4   0.3 24.3 19.63 0.00 3.06 0.01 0.77 0.00 0.62 0.00  11.7  0.2 27.07 0.17 2
54  13 01 15.676 +27 46 16.64             APS                                               20.4  8.2  3.1 24.9 23.9 25.6 16.8 20.31 0.01 1.86 0.02 0.95 0.01 0.71 0.00 -36.6   0.9 24.1                                                                1
55  13 01 18.107 +27 27 46.46                                                               20.2  5.0  2.9 24.4 23.4 25.1 10.3 20.19 0.01 1.72 0.02 0.99 0.01 0.59 0.00 -39.5   0.4 23.6 20.17 0.01 1.80 0.02 1.04 0.01 0.58 0.00 -40.8  0.3 25.40 0.05 2
56  13 01 20.083 +27 25 37.95                                                               22.4  5.5  1.6 25.4 24.3 26.1 11.5 22.37 0.01 0.94 0.02 0.72 0.02 0.61 0.01 -30.2   1.1 24.9 22.37 0.01 0.95 0.02 0.73 0.03 0.61 0.01 -31.2  1.2 27.37 0.28 1
57  13 01 20.191 +27 31 05.99                                                               20.1  7.4  3.0 24.3 23.3 25.1 15.2 20.12 0.01 1.94 0.01 0.98 0.01 0.46 0.00  28.2   0.2 23.5 20.13 0.00 1.96 0.01 0.97 0.01 0.46 0.00  27.8  0.2 25.69 0.07 2
58  13 01 24.157 +27 37 46.51                                                               22.3  8.2  2.2 26.0 24.9 26.7 16.8 22.29 0.01 1.46 0.02 0.66 0.02 0.45 0.01  -0.4   0.7 25.4                                                                1
59  13 01 26.696 +27 41 14.44                                                               22.2  4.7  1.8 25.4 24.3 26.1  9.9 22.15 0.02 1.14 0.02 1.10 0.03 0.54 0.01 -88.7   0.8 24.6 22.15 0.02 1.19 0.03 1.19 0.03 0.55 0.01 -85.7  0.8 26.18 0.06 2
60  13 01 31.627 +27 25 17.86                                                               22.9  7.3  2.1 26.8 25.7 27.5 15.2 22.82 0.01 1.35 0.03 0.61 0.03 0.70 0.01  80.3   2.1 26.3 22.85 0.01 1.41 0.03 0.56 0.03 0.69 0.01  80.5  2.0 26.57 0.07 2
61  13 01 34.522 +27 32 24.17                                                               22.9  5.0  1.7 26.2 25.1 26.9 10.3 22.85 0.02 0.92 0.02 0.89 0.03 0.85 0.01  89.1   4.7 25.5 22.86 0.02 0.95 0.02 0.90 0.04 0.84 0.01 -84.5  4.8 27.32 0.18 2
62  13 01 37.889 +27 41 49.51                                                               20.6  4.6  2.3 24.4 23.4 25.1  9.5 20.72 0.01 1.11 0.01 0.94 0.01 0.81 0.00 -56.2   1.0 23.6 20.71 0.01 1.12 0.01 0.96 0.01 0.82 0.00 -54.2  1.1 26.16 0.10 2
63  13 01 39.434 +27 11 26.25                                                               23.2  4.4  1.5 26.3 25.2 27.0  9.1 23.10 0.02 0.86 0.02 0.62 0.03 0.80 0.02 -55.8   3.8 25.8 23.09 0.01 0.92 0.02 0.66 0.03 0.75 0.01 -53.8  3.0 27.28 0.15 2
64  13 01 39.562 +27 38 57.91                                                               20.2  4.0  2.5 24.2 21.6 25.0  8.7 19.98 0.02 1.75 0.04 1.81 0.03 0.76 0.01 -13.6   0.9 23.0 19.94 0.02 1.90 0.05 1.89 0.04 0.74 0.00 -15.8  0.8 25.45 0.07 2
65  13 01 42.361 +27 27 41.26                                                               20.0 14.7  2.9 24.4 23.4 25.1                                                                                                                               0
66  13 01 49.489 +27 42 06.64                                                               22.0 14.3  3.7 27.0 26.0 27.7 28.9 21.96 0.02 2.34 0.05 0.66 0.02 0.74 0.01  50.6   2.4 26.5 21.98 0.02 2.41 0.05 0.61 0.02 0.72 0.01  50.3  2.2 26.59 0.09 2
67  13 01 49.838 +27 42 46.25                                                               20.3  6.6  2.7 24.5 23.4 25.2 13.5 20.47 0.00 1.35 0.01 0.64 0.01 0.71 0.00 -16.1   0.5 23.9 20.56 0.00 1.39 0.01 0.66 0.01 0.73 0.00 -16.2  0.5 27.00 0.16 2
68  13 01 52.596 +27 27 26.44                                                               21.9  7.6  2.8 26.4 25.3 27.1 15.6 21.51 0.01 1.87 0.03 0.90 0.02 0.93 0.01 -61.4   7.3 25.6 21.55 0.01 1.84 0.03 0.79 0.02 0.93 0.01 -54.8  7.0 26.57 0.08 2
69  13 01 53.230 +27 27 51.84                                                               21.7  6.7  2.4 25.7 24.6 26.4 13.9 21.57 0.01 1.35 0.02 0.96 0.02 0.90 0.01  32.1   3.6 24.9 21.59 0.01 1.34 0.02 0.89 0.01 0.90 0.01  31.8  3.4 27.09 0.19 2
70  13 01 57.326 +27 40 52.59                                                               22.5  4.2  1.6 25.6 24.5 26.3  8.7 22.57 0.01 0.86 0.01 0.67 0.02 0.67 0.01 -66.8   1.1 25.0                                                                1
71  13 01 58.576 +27 32 43.93                                                               22.5  8.8  2.7 26.9 25.8 27.6 18.0 22.56 0.01 1.46 0.03 0.62 0.03 0.83 0.01  20.9   4.2 26.3 22.57 0.01 1.46 0.03 0.59 0.02 0.84 0.01  20.7  4.2 28.27 0.45 1
72  13 01 59.740 +27 45 53.09                                                               21.8  6.8  2.3 25.7 24.6 26.4 13.9 21.58 0.01 1.42 0.03 0.80 0.02 0.83 0.01  79.7   3.1 25.1 21.87 0.01 1.27 0.01 0.63 0.01 0.80 0.00  78.1  1.3 28.30 0.34 1
73  13 01 58.263 +27 46 01.30             IBG-130158+274601                                 19.1 11.0  4.2 24.2 21.5 24.9 22.4 18.92 0.00 2.48 0.02 1.22 0.01 0.87 0.00 -48.7   0.9 23.1 19.02 0.00 2.52 0.01 1.08 0.00 0.88 0.00 -48.5  0.6 24.56 0.02 2
74  13 02 00.077 +27 19 50.78             DF38                                              20.0  6.9  3.4 24.7 23.6 25.4 14.3 19.93 0.00 1.77 0.01 0.84 0.00 0.93 0.00  -7.1   1.3 23.9                                                                1
75  13 02 09.946 +27 45 38.20                                                               20.9  4.9  2.1 24.5 23.4 25.2 10.3 20.86 0.01 1.20 0.01 0.86 0.01 0.65 0.00   7.8   0.6 23.8 20.87 0.01 1.22 0.01 0.85 0.01 0.64 0.00   7.3  0.6 26.40 0.15 2
76  13 02 07.982 +27 29 51.40                                                               20.7  4.5  2.2 24.5 23.5 25.2  9.5 20.77 0.01 1.08 0.01 0.74 0.01 0.85 0.00 -50.4   1.2 23.8                                                                1
77  13 02 11.162 +27 35 20.70                                                               20.1  5.0  3.0 24.4 23.4 25.1 10.3 20.15 0.00 1.39 0.01 0.89 0.01 0.89 0.00 -46.1   1.2 23.6                                                                1
78  13 02 14.976 +27 45 34.90                                                               21.1  5.8  2.4 24.9 23.5 25.6 11.9 20.91 0.02 1.92 0.06 1.62 0.04 0.46 0.01 -75.4   0.5 23.8                                                                1
79  13 02 17.478 +27 16 40.19                                                               23.2  5.1  1.7 26.3 25.2 27.0 10.7 22.98 0.02 1.01 0.04 0.72 0.05 0.71 0.02 -57.6   3.4 25.8 23.02 0.02 1.02 0.03 0.59 0.04 0.70 0.02 -58.7  3.2 27.38 0.30 1
80  13 02 20.989 +27 45 22.79                                                               22.1  5.9  1.9 25.5 24.5 26.2 12.3 21.90 0.02 1.23 0.03 1.01 0.03 0.74 0.01  12.6   2.1 24.9 21.91 0.02 1.25 0.02 0.99 0.03 0.73 0.01  12.2  2.1 27.37 0.31 1
81  13 02 19.981 +27 45 15.64                                                               21.0  9.9  2.9 25.4 24.3 26.1 20.4 20.87 0.01 1.95 0.02 0.60 0.01 0.57 0.00  81.4   0.6 24.9 20.88 0.01 1.96 0.02 0.56 0.01 0.57 0.00  81.7  0.6 26.27 0.11 2
82  13 02 20.754 +27 44 19.27                                                               22.1  6.9  2.3 25.9 24.9 26.6                                                                                                                               0
83  13 02 23.211 +27 44 27.39                                                               22.9  9.2  2.1 26.6 25.0 27.3 18.8 22.15 0.03 2.05 0.09 0.80 0.05 0.66 0.02 -48.0   3.1 26.2 22.20 0.03 2.06 0.08 0.58 0.04 0.66 0.02 -48.3  3.1 26.26 0.12 2
84  13 02 27.047 +27 29 15.77                                                               21.3  5.6  2.0 24.9 20.7 25.7 11.5 20.84 0.04 1.72 0.09 2.37 0.09 0.91 0.01 -68.9   5.8 23.6 21.26 0.01 1.18 0.02 0.86 0.02 0.90 0.01 -65.9  4.6 24.31 0.02 2
85  13 00 18.417 +27 55 30.41 21.74  0.94 APS HdBVK YKK1-86624                              21.8  4.1  1.6 24.8 23.7 25.5  8.7 21.76 0.02 0.94 0.02 0.95 0.02 0.80 0.01 -44.1   2.5 24.1 21.77 0.02 0.96 0.02 0.95 0.02 0.79 0.01 -44.5  2.4 27.37 0.36 1
86  13 00 18.839 +27 48 06.06 21.58  0.90 APS YKK1-44293 DF20                               22.0 13.3  2.2 26.0 24.9 26.7                                                                                                                               0
87  13 00 19.566 +27 43 44.90 20.84  1.05 APS YKK1-21740                                    20.9  4.7  1.9 24.0 22.8 24.6  9.9 20.98 0.02 1.35 0.03 1.12 0.03 0.35 0.00  56.9   0.4 23.2 21.01 0.01 1.27 0.02 0.91 0.02 0.37 0.00  56.9  0.3 25.68 0.13 2
88  13 00 19.652 +27 44 51.03 21.66  0.94 APS YKK1-28062                                    21.8  4.4  2.3 25.6 20.5 26.4                                                                21.78 0.04 1.45 0.05 0.73 0.04 0.94 0.01  29.5 13.0 24.73 0.02 2
89  13 00 21.341 +28 03 26.83 20.87  1.02 APS HdBVK YKK1-129511                             21.0  5.0  2.1 24.6 23.5 25.3 10.3 21.24 0.01 1.10 0.01 0.85 0.01 0.72 0.00 -34.5   0.9 23.9 21.24 0.01 1.10 0.01 0.86 0.01 0.73 0.00 -35.7  1.0 26.60 0.14 2
