mass_bin_q,D_t_quench,r_eff_q,mass_bin,D_t_infall,r_eff,t_infall,t_quench,r_eff_tq,r_eff_ti,t_univ,preprocessed,logmass,r_eff_uncorrected,fig2_index,mass_bin_fig2
0,5.33251068691833,1.768775864059284,0,5.38637305637083,1.7687761939376712,8.4140012379419,8.4678636073944,1.4558809849694745,1.4425663923275651,13.8,0,7.267243930246404,1.760724272777287,63,0.0
0,6.355920168883166,1.7805907272607782,0,0.8618188263931716,1.7805908153869026,12.938555467919556,7.444454125429562,1.4618326712103165,1.5858711880085583,13.8,1,7.106335146942312,1.7725391737383056,66,0.0
0,7.648650906713327,1.828763907788708,0,7.648650906713327,1.8287642333317868,6.151723387599402,6.151723387599402,1.888981230162463,1.8889811767955056,13.8,0,7.168479523244302,1.8207121605092196,118,0.0
0,6.86762585072587,1.8428832053134867,0,1.5081843574788267,1.8428832889377635,12.292189936833902,6.932748443586859,1.2893813435208945,1.6984458401397042,13.8,1,7.162740073707356,1.8348314135636008,94,0.0
0,6.03273842528591,1.8650265884408448,0,6.13036585163913,1.8650266704648304,7.670008442673598,7.767635869026819,1.2950156552029437,1.2738093032903344,13.8,0,7.494368197555578,1.856974682294626,102,0.0
0,5.38637305637083,1.9443836845086315,0,4.416825943858492,1.944383905336562,9.383548350454236,8.4140012379419,1.5234855429692835,1.7013857994030142,13.8,1,7.342250656174326,1.9363317828972395,103,0.0
0,7.648650906713327,1.9980120580260696,0,2.612391405906194,1.9980122267986231,11.187982888406534,6.151723387599402,1.3632175007035598,1.867407691643754,13.8,1,7.111907214117967,1.9899603746831245,70,0.0
0,7.93143587322121,2.004612048505764,0,1.6495768762075944,2.004612361340381,12.150797418105132,5.868938421091519,1.4861277678988012,1.4823828975838946,13.8,1,7.012616851913179,1.9965606753049163,34,0.0
0,6.03273842528591,2.330685795414796,0,6.13036585163913,2.3306856992467706,7.670008442673598,7.767635869026819,2.7247594698374726,2.564602407146656,13.8,0,7.337869801083436,2.322633970044517,110,0.0
0,9.587745131738002,2.433305247789082,0,2.8009134624310748,2.4333055296422472,10.999460831881654,4.212629162574727,5.527809262022432,2.4421815908407845,13.8,1,7.107855722585005,2.425253275930157,119,0.0
0,2.8009134624310748,2.5773322484553103,0,2.154549888564482,2.5773324235403514,11.645824405748249,10.999460831881654,1.9152991945318467,2.1518465559786564,13.8,1,7.429395277006656,2.569281001839421,31,0.0
