velz,logage,zH,FeH,MgFe,ML_r,g-r
6483.521,0.0293,-1.381,-1.9806,0.38220000000000004,1.358,0.49749046943991004
6453.4742,1.0575,-1.4099,-1.3137,0.5203,2.1212,0.6016696844934444
6519.3576,1.0118,-1.3441,0.049500000000000016,0.8817,1.5542,0.5753737821406304
6408.1138,0.8345,-1.6179,-0.449,0.2871,1.0461,0.5261359436355377
6423.2094,0.9243,-1.3567,-1.6476,-0.10919999999999996,1.3867,0.56584882608756
6501.2922,0.9637,-1.5953,-1.156,-0.3771,2.2766,0.5665112717099703
6401.9371,1.1032,-1.523,-1.6825,0.05784000000000006,1.88,0.6172292529079044
6461.4581,1.1077,-1.2328,-1.9312999999999998,-0.22460000000000002,1.6438,0.6202870065001491
6402.7862,1.106,-1.6298,-0.9752,0.2576,1.6586,0.5367596542238005
6521.504,0.8268,-1.7043,-1.1485,-0.29490000000000005,1.6196,0.6192968403024963
6415.6928,0.9572,-1.634,-1.177,0.59952,1.6837,0.4584674198974028
6368.3191,0.8603,-1.0601,-0.187,1.1678000000000002,1.703,0.5914066406396188
6420.4083,0.7424,-1.2655,-0.9982,0.8201399999999999,1.8951,0.5544341514689961
6401.1045,1.0692,-1.2833,-1.1891,0.7983,1.37,0.538880052982023
6508.8979,0.8152,-1.4324,-1.1079,0.9677,1.3224,0.5772605857269042
6405.125,1.11,-1.5587,-1.2974999999999999,0.9527,2.0403,0.5251758246342177
6448.145,0.8808,-1.3865,-1.7551,0.06860000000000005,1.5879,0.5170927302136477
6440.0198,1.1322,-1.276,-0.9285999999999999,0.20671000000000003,1.681,0.6021149547218414
6360.2517,0.813,-1.5328,-0.8542000000000001,0.8572,1.7405,0.5263791247974012
6393.9675,1.1325,-1.5625,-1.7297,0.3258,1.375,0.595323568762339
6372.2484,1.1309,-1.7511,-1.1586,0.08170000000000005,1.3024,0.5463848102328654
6369.5915,1.1149,-1.3762,-0.8343,0.43290000000000006,1.3715,0.5642281976725769
6405.0712,1.1226,0.1238,-1.5988,-0.08339999999999997,1.4547,0.5771716002569036
6504.9711,0.8834,-1.3583,-1.25,-0.12370000000000003,0.8187,0.5797451787370136
6393.9742,1.0048,-1.382,-1.8273000000000001,0.4378,2.1131,0.49213547758498066
6402.2898,0.8834,-1.6814,-0.9423,0.8153600000000001,1.2225,0.5429306772439162
6439.2783,1.009,-1.4349,-0.6570999999999999,0.39490000000000003,1.2867,0.5413231781567873
6383.0527,1.0727,-1.5157,-0.9843000000000001,0.16890000000000002,1.3078,0.5742914522824236
6391.8844,1.1451,-0.8271,-0.863,0.0897,1.5842,0.5447520825172205
6475.1487,1.1292,-1.3522,-1.5847,0.8153600000000001,1.2248,0.5281699340330306
6395.6246,0.7746,-1.3696,-1.0217999999999998,0.15486,1.5877,0.6240974229830698
6506.2634,0.3578,-1.7994,-1.7858999999999998,0.22780000000000003,2.1634,0.6025197239099924
6422.3493,0.6439,-1.2672,-1.1074000000000002,0.3355,1.9924,0.5720048744357342
6413.2259,1.1204,-0.1877,-1.0997999999999999,0.38580000000000003,1.3037,0.5705746761194064
6493.0299,0.8339,-1.5443,-1.1091,0.38820000000000005,2.1567,0.5473605274479354
6447.9769,0.9055,-1.4206,-1.9882,0.24980000000000002,0.8426,0.5511326429786152
6444.7406,1.0935,-0.4226,0.1073,0.4137,1.8967,0.5220336916408144
6378.0282,1.009,-1.2535,-0.9276,0.8263999999999999,1.2887,0.5513606422518649
6393.9717,0.9785,-1.3338,-1.5527,0.993,1.8773,0.5470486823359977
6395.5862,0.6399,-1.5094,-0.9402000000000001,-0.24759999999999993,1.3449,0.5378439152058974
6365.7339,0.8113,-0.9512,-0.9261,0.36919,1.5879,0.4822586476394406
6414.7188,0.9637,-1.203,-1.3538000000000001,0.6859999999999999,1.3114,0.5773502925911203
6360.1955,1.0804,-1.7108,-1.5916,0.4358,2.1283,0.5938376244364179
6551.5259,0.8994,-1.7458,0.049500000000000016,0.5167,1.4992,0.522807657696859
6392.777,0.7996,-1.5725,-1.2562,0.50299,1.7641,0.5384791766357182
6393.9717,0.8439,-1.6895,-1.5743,0.3899,1.537,0.5394803554819987
6308.5247,1.1352,-1.5204,-1.4669,0.16390000000000005,2.1443,0.6071500201638855
6345.2093,1.1204,-0.3798,-0.9769,0.28140000000000004,2.1862,0.5021876404671843
6393.9675,0.4421,-1.4324,-1.5984,0.3783,1.5018,0.5990073442205244
6426.9855,1.1386,-1.7304,-1.8689,-0.3046,1.8005,0.5141655455976206
6393.0585,0.7501,-1.6258,-1.6719,0.30600000000000005,1.4527,0.5274681789361182
6365.0905,1.007,-0.5431,-1.1554,0.48780000000000007,1.349,0.564270278895151
6505.3943,1.1326,-1.5998,-1.7103,0.3783,2.1092,0.5552758068316876
6432.6614,0.9395,-1.5039,-1.4829,0.383,2.1425,0.576002040750069
6511.1221,0.1336,-0.9547,-1.4691,0.040700000000000014,1.9348,0.6164236422353611
6411.3836,0.8157,-1.3867,-1.1380000000000001,0.7976750000000001,2.2429,0.5300808250337781
6500.7052,1.1414,-0.8503,-1.1571,0.5656,1.2649,0.5392427238265327
6410.9742,0.7897,-1.5967,-0.187,-0.23250000000000004,1.016,0.5635628043122125
6405.5815,1.0377,-1.5754,-1.4386,-0.2941999999999999,1.5126,0.5615275429750994
6412.9188,1.0687,-1.5434,-1.2150999999999998,0.1643,2.1771,0.5674534193436216
6422.138,1.1221,-1.6001,-0.7066000000000001,0.797465,1.7138,0.5658500789893424
